Fecha,Emisora,Serie,Precio
20161201,ACTICOB,A,27.662738
20161201,ACTICOB,B-1,25.630848
20161201,ACTICOB,B-2,26.208114
20161201,ACTICOB,B-3,26.840196
20161201,ACTICOB,E,28.032281
20161201,ACTICOB,F-1,26.855677
20161201,ACTICOB,F-2,27.122835
20161201,ACTICOB,F-3,27.355505
20161201,ACTICOB,FF,27.681036
20161201,ACTICOB,M-1,26.138721
20161201,ACTICOB,M-2,26.583928
20161201,ACTICOB,M-3,26.897295
20161201,ACTIGOB,A,4.552701
20161201,ACTIGOB,B-1,3.799087
20161201,ACTIGOB,B-2,3.98244
20161201,ACTIGOB,B-3,4.07752
20161201,ACTIGOB,E,4.586997
20161201,ACTIGOB,F-1,4.183761
20161201,ACTIGOB,FF,4.552697
20161201,ACTIGOB,G,4.530232
20161201,ACTIGOB,GE,4.708863
20161201,ACTIGOB,M-1,4.185712
20161201,ACTIGOB,M-2,4.245316
20161201,ACTIGOB,M-3,4.305808
20161201,ACTIMED,A,4.742825
20161201,ACTIMED,B-1,4.08254
20161201,ACTIMED,B-2,4.409726
20161201,ACTIMED,B-3,4.522807
20161201,ACTIMED,D,4.507255
20161201,ACTIMED,E,4.753438
20161201,ACTIMED,F-1,4.422262
20161201,ACTIMED,F-2,4.597729
20161201,ACTIMED,F-3,4.639479
20161201,ACTIMED,FF,4.740891
20161201,ACTIMED,M-1,4.259073
20161201,ACTIMED,M-2,4.473356
20161201,ACTIMED,M-3,4.529653
20161201,ACTIREN,A,9.072607
20161201,ACTIREN,B-1,7.200288
20161201,ACTIREN,B-2,7.49128
20161201,ACTIREN,B-3,7.688814
20161201,ACTIREN,E,8.369073
20161201,ACTIREN,F-1,7.750283
20161201,ACTIREN,F-2,7.826609
20161201,ACTIREN,F-3,8.008749
20161201,ACTIREN,FF,9.13598
20161201,ACTIREN,M-1,7.803674
20161201,ACTIREN,M-2,7.85828
20161201,ACTIREN,M-3,7.905729
20161201,ALTERNA,A,3.979885
20161201,ALTERNA,B-1,3.088798
20161201,ALTERNA,B-2,3.342991
20161201,ALTERNA,B-3,3.574357
20161201,ALTERNA,D,3.601393
20161201,ALTERNA,E,3.645541
20161201,ALTERNA,F-1,3.601167
20161201,ALTERNA,F-3,3.886734
20161201,ALTERNA,FF,3.994567
20161201,ALTERNA,M-1,3.273759
20161201,ALTERNA,M-2,3.446071
20161201,ALTERNA,M-3,3.620439
