BP_Único_y/o_Repetido,CLAVE_CLIENTE,CATEGORIA_PRODUCTO,DETALLE_PRODUCTO,POSICION_CUENTA_FECHA_TRANS
Único,90000175,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 202,017 "
Repetido,90001470,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA"," 3,643 "
Repetido,90001801,FONDOS DE DEUDA,"ACTIGOBER, S.A. DE C.V. SOC INV INSTRUM DE DEUDA"," 133,605 "
Repetido,90001991,FONDOS DE COBERTURA,ACTICOB B, 897 
Repetido,90001991,RENTA VARIABLE,"FONDO MAYA,S.A DE C.V.,SOC. DE INV. DE RENTA VARIABLE"," 265,258 "
Repetido,90001991,FONDOS DE DEUDA,"ACTIRENT, S.A. DE C.V. SOC INV DE INSTR DE DEUDA", 10 
Repetido,90002130,FONDOS DE DEUDA,ACTIREN B," 101,360 "
Repetido,90002338,FONDOS DE COBERTURA,ACTICOB B," 192,681 "
Repetido,90002338,RENTA VARIABLE,MAYA B," 154,738 "
Repetido,90002437,FONDOS DE DEUDA,ACTIREN B," 3,829 "
Repetido,90002551,FONDOS DE DEUDA,ACTIMED B," 260,975 "
Repetido,90002551,FONDOS DE DEUDA,ACTIREN B," 36,526 "
Repetido,90002759,FONDOS DE DEUDA,ACTIMED B," 183,161 "
Repetido,90002759,FONDOS DE DEUDA,ACTIREN B," 30,566 "
Repetido,90002833,FONDOS DE DEUDA,ALTERNA B," 222,053 "
Repetido,90002890,FONDOS DE DEUDA,ACTIREN B," 5,918 "
Repetido,90002890,FONDO DE FONDOS,IMPULSA B," 364,489 "
Repetido,90003054,FONDOS DE DEUDA,ACTIREN B, 25 
Repetido,90003401,FONDOS DE COBERTURA,ACTICOB B, 976 
Repetido,90003609,RENTA VARIABLE,MAYA B," 2,588 "
Repetido,90003609,FONDOS DE COBERTURA,ACTICOB B," 1,714 "
Repetido,90004227,FONDOS DE DEUDA,ACTIREN B," 8,142 "
Repetido,90004334,RENTA VARIABLE,ACTI500 B," 23,201 "
Repetido,90004334,RENTA VARIABLE,ACTVIDA B," 119,932 "
Repetido,90004334,FONDOS DE DEUDA,ACTIMED B," 186,224 "
Repetido,90004334,FONDOS DE DEUDA,ALTERNA B," 9,139 "
Repetido,90004391,FONDOS DE COBERTURA,ACTICOB B," 43,785 "
Repetido,90004573,RENTA VARIABLE,MAYA B," 34,721 "
Repetido,90004573,FONDOS DE DEUDA,ALTERNA B," 93,126 "
Repetido,90004573,FONDOS DE COBERTURA,ACTICOB B," 29,647 "
Repetido,90004573,FONDOS DE DEUDA,ACTIMED B," 61,237 "
Repetido,90004573,FONDO DE FONDOS,IMPULSA B," 30,582 "
Repetido,90004607,FONDOS DE COBERTURA,ACTICOB B," 16,169 "
Repetido,90004623,RENTA VARIABLE,MAYA B," 32,428 "
Repetido,90005380,FONDOS DE DEUDA,ACTIMED B," 8,136 "
Repetido,90005380,FONDOS DE DEUDA,ALTERNA B," 12,221 "
Repetido,90005430,FONDO DE FONDOS,IMPULSA B," 5,534 "
Repetido,90005471,FONDOS DE DEUDA,ACTIREN B," 101,556 "
Repetido,90005471,FONDOS DE COBERTURA,ACTICOB B," 5,750 "
Repetido,90005810,FONDOS DE COBERTURA,ACTICOB B," 9,575 "
Repetido,90005810,FONDOS DE DEUDA,ALTERNA B," 10,930 "
Repetido,90005919,FONDOS DE DEUDA,ACTIMED B," 18,819 "
Repetido,90005919,FONDOS DE DEUDA,ACTIREN B," 15,648 "
Repetido,90005943,FONDOS DE DEUDA,ACTIMED B," 245,575 "
Repetido,90006354,FONDOS DE DEUDA,ACTIREN B," 13,559 "
Repetido,90006354,FONDOS DE DEUDA,ACTIMED B," 59,929 "
Repetido,90006446,FONDOS DE DEUDA,ACTIREN E," 407,140 "
Repetido,90006628,FONDOS DE COBERTURA,ACTICOB B," 8,599 "
Repetido,90006628,FONDOS DE DEUDA,ACTIMED B," 35,165 "
Repetido,90006677,FONDOS DE DEUDA,ACTIREN B," 2,174 "
Repetido,90006693,FONDOS DE DEUDA,ACTIREN B," 53,244 "
Repetido,90006693,RENTA VARIABLE,ACTVIDA B," 70,353 "
Repetido,90006693,FONDOS DE DEUDA,ALTERNA B," 181,276 "
Repetido,90006701,FONDOS DE COBERTURA,ACTICOB B," 3,455 "
Único,90006784,FONDOS DE COBERTURA,ACTICOB B," 9,337 "
Repetido,90006842,FONDOS DE COBERTURA,ACTICOB B," 9,707 "
Repetido,90006842,RENTA VARIABLE,ACTI500 B," 56,591 "
Repetido,90006842,FONDOS DE DEUDA,ACTIMED B," 228,222 "
Repetido,90006917,FONDOS DE DEUDA,ACTIMED B," 132,891 "
Repetido,90006933,FONDOS DE DEUDA,ACTIREN B," 221,994 "
Repetido,90006958,FONDOS DE DEUDA,ALTERNA B, 9 
Repetido,90006958,FONDOS DE DEUDA,ACTIREN B," 4,933 "
Repetido,90007097,FONDOS DE COBERTURA,ACTICOB B," 22,315 "
Repetido,90007097,FONDOS DE DEUDA,ACTIREN B," 3,235 "
Repetido,90007253,FONDOS DE DEUDA,ACTIREN B," 13,084 "
Repetido,90007253,FONDOS DE DEUDA,ACTIMED B," 5,820 "
Repetido,90007253,FONDOS DE COBERTURA,ACTICOB B," 56,156 "
Repetido,90007295,FONDOS DE DEUDA,ACTIMED B," 3,414 "
Repetido,90007576,FONDOS DE DEUDA,ACTIREN B," 49,169 "
Repetido,90007576,FONDOS DE DEUDA,ACTIMED B," 8,747 "
Repetido,90007592,FONDOS DE DEUDA,ACTIREN B," 2,454 "
Repetido,90007626,FONDOS DE DEUDA,ALTERNA B," 38,036 "
Repetido,90007626,FONDOS DE DEUDA,ACTIMED B," 10,378 "
Repetido,90007840,RENTA VARIABLE,ACTI500 B," 42,439 "
Repetido,90007865,FONDOS DE DEUDA,ACTIMED B," 15,202 "
Repetido,90007865,RENTA VARIABLE,ACTVIDA B," 101,121 "
Repetido,90007923,FONDOS DE DEUDA,ACTIMED B," 46,250 "
Repetido,90008152,FONDOS DE COBERTURA,ACTICOB B," 3,482 "
Repetido,90009192,FONDOS DE DEUDA,ACTIREN B," 47,513 "
Repetido,90009325,FONDOS DE DEUDA,ACTIREN B," 8,261 "
Repetido,90009366,FONDOS DE DEUDA,ACTIMED B," 2,287 "
Repetido,90009572,FONDO DE FONDOS,IMPULSA B," 73,023 "
Repetido,90009572,FONDOS DE DEUDA,ACTIMED B," 319,097 "
Repetido,90009580,FONDOS DE COBERTURA,ACTICOB B," 3,429 "
