id,ID_CLIENTE,NIVEL,MEJOR_RENDIMIENTO
0,90000175,NIVEL 1,No
1,90000175,NIVEL 2,No
2,90000175,NIVEL 3,No
3,90001470,NIVEL 1,No
4,90001470,NIVEL 2,No
5,90001470,NIVEL 3,No
6,90001801,NIVEL 1,Yes
7,90001801,NIVEL 2,Yes
8,90001801,NIVEL 3,Yes
9,90001991,NIVEL 1,Yes
10,90001991,NIVEL 2,Yes
11,90001991,NIVEL 3,Yes
12,90002130,NIVEL 1,No
13,90002130,NIVEL 2,No
14,90002130,NIVEL 3,No
15,90002338,NIVEL 1,No
16,90002338,NIVEL 2,No
17,90002338,NIVEL 3,No
18,90002437,NIVEL 1,No
19,90002437,NIVEL 2,No
20,90002437,NIVEL 3,No
21,90002551,NIVEL 1,Yes
22,90002551,NIVEL 2,Yes
23,90002551,NIVEL 3,Yes
24,90002759,NIVEL 1,Yes
25,90002759,NIVEL 2,Yes
26,90002759,NIVEL 3,Yes
27,90002833,NIVEL 1,Yes
28,90002833,NIVEL 2,Yes
29,90002833,NIVEL 3,Yes
30,90002890,NIVEL 1,No
31,90002890,NIVEL 2,Yes
32,90002890,NIVEL 3,Yes
33,90003054,NIVEL 1,No
34,90003054,NIVEL 2,No
35,90003054,NIVEL 3,No
36,90003401,NIVEL 1,No
37,90003401,NIVEL 2,No
38,90003401,NIVEL 3,No
39,90003609,NIVEL 1,No
40,90003609,NIVEL 2,No
41,90003609,NIVEL 3,No
42,90004227,NIVEL 1,No
43,90004227,NIVEL 2,No
44,90004227,NIVEL 3,No
45,90004334,NIVEL 1,Yes
46,90004334,NIVEL 2,Yes
47,90004334,NIVEL 3,Yes
48,90004391,NIVEL 1,No
49,90004391,NIVEL 2,No
50,90004391,NIVEL 3,No
51,90004573,NIVEL 1,Yes
52,90004573,NIVEL 2,Yes
53,90004573,NIVEL 3,Yes
54,90004607,NIVEL 1,No
55,90004607,NIVEL 2,No
56,90004607,NIVEL 3,No
57,90004623,NIVEL 1,Yes
58,90004623,NIVEL 2,Yes
59,90004623,NIVEL 3,Yes
60,90005380,NIVEL 1,Yes
61,90005380,NIVEL 2,Yes
62,90005380,NIVEL 3,Yes
63,90005430,NIVEL 1,No
64,90005430,NIVEL 2,Yes
65,90005430,NIVEL 3,Yes
66,90005471,NIVEL 1,No
67,90005471,NIVEL 2,No
68,90005471,NIVEL 3,No
69,90005810,NIVEL 1,No
70,90005810,NIVEL 2,No
71,90005810,NIVEL 3,No
72,90005919,NIVEL 1,No
73,90005919,NIVEL 2,Yes
74,90005919,NIVEL 3,Yes
75,90005943,NIVEL 1,Yes
76,90005943,NIVEL 2,Yes
77,90005943,NIVEL 3,Yes
78,90006354,NIVEL 1,Yes
79,90006354,NIVEL 2,Yes
80,90006354,NIVEL 3,Yes
81,90006446,NIVEL 1,No
82,90006446,NIVEL 2,No
83,90006446,NIVEL 3,No
84,90006628,NIVEL 1,Yes
85,90006628,NIVEL 2,Yes
86,90006628,NIVEL 3,Yes
87,90006677,NIVEL 1,No
88,90006677,NIVEL 2,No
89,90006677,NIVEL 3,No
90,90006693,NIVEL 1,Yes
91,90006693,NIVEL 2,Yes
92,90006693,NIVEL 3,Yes
93,90006701,NIVEL 1,No
94,90006701,NIVEL 2,No
95,90006701,NIVEL 3,No
96,90006784,NIVEL 1,No
97,90006784,NIVEL 2,No
98,90006784,NIVEL 3,No
99,90006842,NIVEL 1,No
100,90006842,NIVEL 2,Yes
101,90006842,NIVEL 3,Yes
102,90006917,NIVEL 1,Yes
103,90006917,NIVEL 2,Yes
104,90006917,NIVEL 3,Yes
105,90006933,NIVEL 1,No
106,90006933,NIVEL 2,No
107,90006933,NIVEL 3,No
108,90006958,NIVEL 1,No
109,90006958,NIVEL 2,No
110,90006958,NIVEL 3,No
111,90007097,NIVEL 1,No
112,90007097,NIVEL 2,No
113,90007097,NIVEL 3,No
114,90007253,NIVEL 1,No
115,90007253,NIVEL 2,No
116,90007253,NIVEL 3,No
117,90007295,NIVEL 1,Yes
118,90007295,NIVEL 2,Yes
119,90007295,NIVEL 3,Yes
120,90007576,NIVEL 1,No
121,90007576,NIVEL 2,No
122,90007576,NIVEL 3,No
123,90007592,NIVEL 1,No
124,90007592,NIVEL 2,No
125,90007592,NIVEL 3,No
126,90007626,NIVEL 1,Yes
127,90007626,NIVEL 2,Yes
128,90007626,NIVEL 3,Yes
129,90007840,NIVEL 1,No
130,90007840,NIVEL 2,No
131,90007840,NIVEL 3,No
132,90007865,NIVEL 1,Yes
133,90007865,NIVEL 2,Yes
134,90007865,NIVEL 3,Yes
135,90007923,NIVEL 1,Yes
136,90007923,NIVEL 2,Yes
137,90007923,NIVEL 3,Yes
138,90008152,NIVEL 1,No
139,90008152,NIVEL 2,No
140,90008152,NIVEL 3,No
141,90009192,NIVEL 1,No
142,90009192,NIVEL 2,No
143,90009192,NIVEL 3,No
144,90009325,NIVEL 1,No
145,90009325,NIVEL 2,No
146,90009325,NIVEL 3,No
147,90009366,NIVEL 1,Yes
148,90009366,NIVEL 2,Yes
149,90009366,NIVEL 3,Yes
150,90009572,NIVEL 1,Yes
151,90009572,NIVEL 2,Yes
152,90009572,NIVEL 3,Yes
153,90009580,NIVEL 1,No
154,90009580,NIVEL 2,No
