,CLAVE_CLIENTE,ACTICOB,ACTIMED,ACTIGOB,ACTIREN,ALTERNA,IMPULSA,ACTI500,MAYA,ACTVIDA
0,90001801,,,0.7799622625516011,,,,,,
1,90001991,0.34098793934189614,,,172.1509614616762,,,,0.4729930933617703,
2,90002551,,5.750782820848368,,-2.587754164453088,,,,,
3,90002759,,2.9763453047507604,,-1.9777987931228527,,,,,
4,90002833,,,,,-21.602852282775395,,,,
5,90004334,,3.971266410226354,,,-2.897054575261683,,0.03696178084319531,,-0.11262710417995819
6,90004573,0.11874193656260429,0.2769830951708324,,,0.40071202220963653,0.1413625588936635,,0.06074689879116975,
7,90004623,,,,,,,,0.30522249986585875,
8,90005380,,0.7724615123001826,,,-5.036468364453761,,,,
9,90005943,,-1.5843335694068807,,,,,,,
10,90006354,,0.7534952453514512,,3.4043882062931896,,,,,
11,90006628,0.1324739259371862,20.520035699737193,,,,,,,
12,90006693,,,,0.9203270013520558,-0.08418632548547261,,,,0.11582863327398497
13,90006917,,-1.5843335694068807,,,,,,,
14,90007295,,-1.5843335694068807,,,,,,,
15,90007626,,13.16823092791497,,,-16.489347433193835,,,,
16,90007865,,0.4426336977610252,,,,,,,0.5559128138668817
17,90007923,,-1.5843335694068807,,,,,,,
18,90009366,,-1.5843335694068807,,,,,,,
19,90009572,,0.48893939871393277,,,,0.691701670470758,,,
20,90009655,,,,,-21.602852282775395,,,,
21,90009671,,,,,-21.602852282775395,,,,
22,90010315,,0.6678848065258991,,,,0.3306617051020082,,,
23,90010406,,,,,-21.602852282775395,,,,
24,90010497,,,,0.7849110309405738,,,,0.21363548068733285,
25,90010588,0.02360281315916523,,,25.559612910651808,-10.45404061858888,,,,
26,90010786,,-2.50365785744203,,8.30498142771127,,,,,
27,90011222,,8.784702615661221,-11.63367705853137,,,,,,
28,90011271,,-1.5843335694068807,,,,,,,
29,90011826,,,,22.0135948487592,-6.867576153416561,,,,
30,90012360,,-1.5843335694068807,,,,,,,
31,90012428,,-2.677363372497481,,,3.675909884125387,,,,
32,90012436,,-1.5843335694068807,,,,,,,
33,90012626,,0.614251592190436,,,,0.21941836124410233,,,
34,90012865,,-1.5843335694068807,,,,,,,
35,90013160,,-3.765215293512492,,6.890575509448838,,,,,
36,90013244,,,,,-21.602852282775395,,,,
37,90013582,,-1.5843335694068807,,,,,,,
38,90013731,,-1.3593803937395625,,4.8382423370091034,,,,,
39,90013855,,-3.0435633862512352,,5.698977323271625,,,,,
40,90014473,,-1.5843335694068807,,,,,,,
41,90014598,,-1.5843335694068807,,,,,,,
42,90014804,,,,,-21.602852282775395,,,,
43,90014838,,,,,-21.602852282775395,,,,
